complex.id,burial,n_pep_contacted,chain_balance,n_hbond,D2_pep24,fp_b0_frac_r7,H_cell,L_canon,ab_imb,neg_energy,log_z,log_lik,mu_star,n_contacts
5tje,1641.019933,6.000000,0.285714,5.000000,8.225316,0.217391,0.803307,2.614960,-0.122807,26.648107,51.437718,-24.816194,-0.019189,21.000000
5w1v,2127.061274,6.000000,0.277778,4.000000,7.695811,0.148148,0.800941,3.736081,0.107692,21.409392,35.551095,-14.147775,0.440548,18.000000
5w1w,2097.337899,6.000000,0.250000,4.000000,7.410256,0.076923,0.804386,2.564949,0.147059,16.361730,35.487988,-19.116038,0.789101,20.000000
5wkf,1778.452020,6.000000,0.173913,3.000000,7.031250,0.095238,0.755421,1.308113,-0.433333,31.367369,58.732617,-27.377799,-0.337631,23.000000
5wkh,1796.568039,6.000000,0.181818,4.000000,6.870229,0.090909,0.744503,1.511799,-0.400000,32.543092,60.130948,-27.587646,-0.444854,22.000000
5wlg,2099.543762,5.000000,0.133333,2.000000,7.566929,0.033333,0.853900,0.587787,0.161290,11.626335,33.749884,-22.107748,-0.100199,15.000000
5xot,966.619113,4.000000,0.000000,1.000000,2.935310,0.142857,0.430455,0.678758,-1.000000,,,,,
5xov,519.507496,5.000000,0.000000,3.000000,2.959732,0.222222,0.240761,0.869038,-1.000000,,,,,
5yxn,2157.805025,10.000000,0.296296,4.000000,8.747604,0.030303,0.885554,0.866811,0.243243,31.930064,68.469039,-36.532954,-0.367960,27.000000
5yxu,2048.670884,9.000000,0.296296,5.000000,8.961240,0.031250,0.876933,1.445060,0.264706,23.510870,63.677799,-40.096431,-0.051333,27.000000
6am5,1998.572170,9.000000,0.409091,3.000000,8.904348,0.068966,0.842195,0.550831,0.093750,11.972831,37.661956,-25.622811,0.137509,22.000000
6amu,1660.631978,8.000000,0.478261,4.000000,8.901370,0.125000,0.835786,1.219973,0.052632,26.614657,54.372313,-27.743685,-0.382587,23.000000
6avf,1571.021943,8.000000,0.368421,0.000000,6.915033,0.086957,0.744231,1.210445,0.478261,7.406179,46.525502,-39.134418,-0.536623,19.000000
6avg,2314.353075,10.000000,0.288462,8.000000,7.471111,0.064516,0.821287,2.444945,-0.195122,57.460299,129.465790,-72.001362,-0.089259,52.000000
6bga,2935.184286,6.000000,0.095238,5.000000,4.097833,0.028571,0.652384,-0.134003,0.088608,58.728264,85.379156,-26.708819,NaN,21.000000
6bj2,2072.590204,5.000000,0.388889,4.000000,7.003215,0.040000,0.813426,1.349927,0.121212,23.128649,44.357572,-21.225019,-0.132926,17.000000
6bj3,886.713157,4.000000,0.000000,2.000000,3.000000,0.142857,0.464266,0.678758,-1.000000,,,,,
6bj8,896.956332,4.000000,0.000000,2.000000,3.158470,0.142857,0.487601,0.167933,-1.000000,,,,,
6cql,1788.759271,9.000000,0.451613,9.000000,8.125604,0.083333,0.854604,-0.448305,-0.206897,18.620935,61.639491,-43.024891,0.296046,31.000000
6cqn,1739.912808,9.000000,0.437500,9.000000,8.593533,0.083333,0.873905,-0.079310,-0.180328,17.625019,59.681640,-42.055965,0.500793,32.000000
6cqq,1792.410367,9.000000,0.482759,9.000000,8.165049,0.083333,0.848740,-0.669050,-0.103448,18.942376,58.786002,-39.884660,0.165381,29.000000
6cqr,1938.793354,8.000000,0.466667,9.000000,8.647059,0.080000,0.872029,0.082580,-0.174603,18.342950,59.267792,-40.905771,0.298377,30.000000
6d78,2080.133507,8.000000,0.333333,4.000000,9.000000,0.062500,0.880617,0.688413,0.014493,12.279061,39.105739,-26.811775,0.084074,21.000000
6dfs,1558.821242,6.000000,0.222222,3.000000,7.573427,0.076923,0.811651,0.440108,0.333333,4.953629,33.457382,-28.511204,0.326501,18.000000
6dfw,1832.850506,9.000000,0.380952,2.000000,7.020057,0.035714,0.789568,2.333109,0.057143,13.322617,35.521869,-22.197801,0.396280,21.000000
6dfx,2174.545844,11.000000,0.360000,3.000000,8.959368,0.031250,0.877055,-0.181020,0.301587,9.228293,41.156810,-31.901942,0.021652,25.000000
6dkp,2134.997414,9.000000,0.434783,6.000000,8.962963,0.062500,0.869990,0.331562,0.060606,10.121502,43.330992,-33.185052,0.016448,23.000000
6eqa,1922.650117,8.000000,0.296296,3.000000,8.796690,0.038462,0.796121,1.081840,-0.147541,30.455406,59.990081,-29.529275,0.456059,27.000000
6eqb,2223.137586,8.000000,0.260870,5.000000,8.783784,0.064516,0.792254,1.083489,-0.107692,39.967842,60.123194,-20.183971,-0.165034,23.000000
6g9q,1562.146266,7.000000,0.411765,2.000000,8.464000,0.136364,0.813551,2.598566,0.130435,18.009073,43.912814,-25.877217,-0.384013,17.000000
6l9l,1686.832006,6.000000,0.391304,8.000000,10.467128,0.173913,0.890854,1.632695,0.127273,29.764123,51.191668,-21.391469,0.017223,23.000000
6mkd,1494.943804,7.000000,0.333333,5.000000,5.101617,0.150000,0.670618,0.863341,-0.063830,6.432732,25.855785,-19.432613,0.199787,15.000000
6mkr,1522.164875,8.000000,0.375000,2.000000,5.552553,0.150000,0.681474,0.926608,0.023256,-1.772874,22.541674,-24.318654,0.549573,16.000000
6mng,1480.609722,7.000000,0.333333,6.000000,5.348668,0.190476,0.689593,1.044908,-0.021277,5.583842,24.900014,-19.320534,0.293854,15.000000
6mnm,1488.773841,7.000000,0.333333,4.000000,5.284404,0.150000,0.685776,1.006442,-0.083333,6.429368,26.941474,-20.536951,0.206986,15.000000
6mnn,1467.598992,7.000000,0.333333,5.000000,5.737662,0.150000,0.719779,1.210077,-0.021277,2.420764,23.578664,-21.177312,0.367380,15.000000
6mno,1469.143663,7.000000,0.333333,6.000000,5.097345,0.200000,0.677195,0.826300,-0.041667,2.371893,24.248084,-21.880160,0.290766,15.000000
6mtm,1764.703568,6.000000,0.466667,3.000000,7.653951,0.083333,0.843738,1.647417,-0.132075,5.168761,31.878000,-26.721419,-0.338993,15.000000
6p64,1682.999251,6.000000,0.461538,1.000000,9.741573,0.045455,0.845616,0.990691,0.372549,-8.469788,29.856205,-38.344236,0.841592,26.000000
6px6,2011.640668,11.000000,0.400000,1.000000,8.966265,0.133333,0.899318,0.140103,-0.081967,-3.694627,34.664820,-38.342674,0.472830,25.000000
6py2,1808.846225,6.000000,0.312500,3.000000,6.072897,0.160000,0.725099,3.832980,-0.333333,12.446020,33.489340,-21.047220,0.568742,16.000000
6q3s,2120.213934,6.000000,0.481481,6.000000,8.390411,0.086957,0.846252,2.163749,0.000000,30.231977,62.978369,-32.765864,-0.151220,27.000000
6r0e,1965.460575,7.000000,0.478261,3.000000,9.722543,0.083333,0.891695,2.095424,-0.034483,12.251978,46.394426,-34.099030,-0.027275,22.000000
6r2l,2533.722749,8.000000,0.461538,6.000000,8.112000,0.032258,0.818501,1.684945,0.153846,41.310795,64.623462,-23.284704,-0.079870,26.000000
6rp9,1331.434449,4.000000,0.260870,3.000000,8.610063,0.125000,0.806487,1.680897,-0.405405,12.516825,45.797953,-33.291827,0.177954,23.000000
6rpa,2177.429147,7.000000,0.482759,4.000000,8.521008,0.166667,0.822519,3.391751,-0.076923,27.233048,57.478674,-30.274437,0.455946,29.000000
6rpb,1790.115245,6.000000,0.480000,6.000000,7.293023,0.052632,0.800397,1.286665,-0.392857,13.677051,54.009994,-40.342922,0.496509,25.000000
6rsy,2194.083383,7.000000,0.391304,5.000000,8.088677,0.064516,0.842033,1.140263,0.038961,11.710177,39.489881,-27.798162,0.246723,23.000000
6tmo,2256.861892,9.000000,0.357143,6.000000,9.050269,0.032258,0.813803,0.947381,-0.042254,37.151989,60.926638,-23.770068,0.286129,28.000000
6tro,1753.212113,6.000000,0.350000,4.000000,5.862629,0.120000,0.728512,2.428374,0.396825,32.802684,64.692048,-31.847324,-0.819703,20.000000
6u3n,2165.248388,7.000000,0.333333,0.000000,6.296572,0.111111,0.805317,1.607927,-0.169231,6.681674,28.124265,-21.427226,-0.222398,15.000000
6u3o,1796.849940,5.000000,0.071429,1.000000,4.357532,0.166667,0.710716,0.795680,-0.632653,4.967804,21.015182,-16.045662,0.326966,14.000000
6uk4,1772.165479,7.000000,0.437500,3.000000,10.650888,0.047619,0.890848,0.669050,0.400000,-5.000567,38.753329,-43.734828,0.797099,32.000000
6ulr,1850.134481,5.000000,0.250000,1.000000,4.737160,0.041667,0.685096,0.541536,0.392857,14.431048,28.236456,-13.792610,-1.142974,8.000000
6uon,1367.493713,5.000000,0.312500,2.000000,7.243386,0.117647,0.791004,2.797998,0.081081,13.464671,30.074240,-16.611421,0.071144,16.000000
6v0y,1976.665367,8.000000,0.250000,1.000000,7.254197,0.115385,0.851686,0.027525,-0.418182,18.944882,43.860577,-24.915460,-0.788694,16.000000
6v13,1666.964009,7.000000,0.294118,1.000000,6.120000,0.090909,0.771194,0.682029,-0.686275,22.688820,45.800317,-23.151983,-0.717344,17.000000
6v15,1555.217181,6.000000,0.142857,1.000000,5.702970,0.150000,0.735452,0.802784,-0.791667,15.441456,35.240521,-19.721796,-0.693965,14.000000
6v18,2019.797109,9.000000,0.434783,3.000000,8.356522,0.068966,0.881859,0.097638,-0.419355,16.944689,50.930948,-33.999922,-0.256490,23.000000
6v19,1913.527736,8.000000,0.250000,1.000000,6.758621,0.120000,0.826973,0.236389,-0.535714,14.549609,36.644014,-22.093278,-0.471553,16.000000
6v1a,1855.650854,8.000000,0.250000,2.000000,6.237410,0.111111,0.814476,0.319414,-0.568627,10.565613,39.102365,-28.549265,-0.549221,16.000000
6vm7,1795.850901,5.000000,0.227273,3.000000,7.518359,0.136364,0.831579,0.375858,-0.355932,10.741553,42.320549,-31.554800,0.091183,22.000000
6vm8,1784.598420,5.000000,0.227273,2.000000,7.609407,0.083333,0.835244,0.282768,-0.311475,10.741553,42.428146,-31.621950,0.089619,22.000000
6vma,1702.028958,7.000000,0.473684,3.000000,5.744376,0.095238,0.732531,1.321023,0.509434,0.623470,25.921784,-25.280639,0.435916,19.000000
6vmc,1757.992611,7.000000,0.473684,3.000000,5.281250,0.086957,0.711283,1.254332,0.500000,4.954863,28.804767,-23.822179,0.332111,19.000000
6vmx,1794.385901,5.000000,0.500000,4.000000,9.669145,0.142857,0.887237,1.480778,0.019608,24.975358,49.826903,-24.866724,-0.405347,20.000000
6vqo,1426.438410,7.000000,0.434783,8.000000,6.915033,0.055556,0.775819,0.201941,0.434783,-2.824372,30.821132,-33.659855,0.530756,23.000000
6vrm,1562.128434,5.000000,0.272727,6.000000,7.653951,0.058824,0.802340,1.655131,-0.056604,29.120413,52.575080,-23.465432,-0.025002,22.000000
6vrn,1684.256139,6.000000,0.291667,8.000000,10.730159,0.090909,0.903173,0.627699,0.192308,3.288882,32.293185,-29.034917,0.834433,24.000000
6xc9,2330.405030,15.000000,0.365854,8.000000,8.672087,0.058824,0.893406,-0.779198,-0.175000,63.302307,105.061281,-41.730189,-0.126611,41.000000
6xco,2053.214984,13.000000,0.407407,5.000000,8.657244,0.030303,0.891503,-0.789157,-0.057143,17.440503,54.375558,-36.891238,-0.081148,27.000000
6xcp,2014.819381,11.000000,0.476190,4.000000,7.280303,0.103448,0.869944,-0.284146,-0.129032,-4.376421,28.182599,-32.548503,0.102743,21.000000
6zkw,1635.085502,5.000000,0.312500,4.000000,7.905775,0.058824,0.845211,1.110845,0.137255,1.407664,22.576969,-21.178014,1.110550,16.000000
6zkx,1975.164012,5.000000,0.333333,4.000000,6.728000,0.045455,0.836216,0.783203,-0.172414,6.589110,23.826571,-17.223045,0.894327,15.000000
6zky,1571.587568,5.000000,0.384615,2.000000,7.387960,0.058824,0.829544,1.594512,0.063830,1.465298,19.770783,-18.304325,0.706386,13.000000
6zkz,1700.803737,5.000000,0.333333,4.000000,8.153605,0.052632,0.866276,1.200938,0.098039,1.986936,21.534033,-19.524871,0.951435,15.000000
7byd,1773.657346,3.000000,0.000000,2.000000,4.827637,0.086957,0.687161,1.887499,-0.087719,-3.064315,14.373734,-17.423910,0.771550,10.000000
7dzm,1381.190516,5.000000,0.500000,5.000000,6.299213,0.187500,0.736248,0.071642,-0.200000,18.402048,33.584971,-15.185905,-0.149995,14.000000
7dzn,1342.091888,5.000000,0.500000,4.000000,6.208163,0.117647,0.732691,0.143101,-0.230769,17.437445,33.296598,-15.858272,-0.147636,14.000000
7jwi,1819.979615,6.000000,0.000000,2.000000,3.840125,0.074074,0.530887,-4.241981,-0.200000,34.507803,49.105174,-14.589306,-1.149162,13.000000
7jwj,1483.590603,5.000000,0.058824,1.000000,6.428571,0.086957,0.780175,0.198322,-0.600000,4.491519,28.597767,-24.114942,0.574488,17.000000
7n1e,1603.735976,6.000000,0.448276,6.000000,6.707317,0.200000,0.763595,1.475090,-0.127273,20.263370,55.705940,-35.434545,0.430408,29.000000
7n1f,1808.699450,7.000000,0.444444,6.000000,11.320557,0.040000,0.913902,0.901990,0.157895,12.794104,48.225635,-35.460087,0.421683,27.000000
7n2n,1797.620837,5.000000,0.375000,1.000000,6.660099,0.111111,0.771403,0.954663,0.192308,28.846192,46.064061,-17.241276,-0.488335,16.000000
7n2o,1871.535927,6.000000,0.500000,1.000000,6.126050,0.083333,0.742936,0.358212,0.222222,26.595728,49.523151,-22.924636,-0.065711,20.000000
7n2p,1739.390512,7.000000,0.363636,2.000000,7.047722,0.071429,0.798220,0.679688,0.052632,31.050087,53.799289,-22.731269,0.172653,22.000000
7n2q,1746.541782,7.000000,0.363636,2.000000,6.538117,0.080000,0.774961,0.758889,0.074074,29.793031,54.689579,-24.884466,0.085364,22.000000
7n2r,1610.711807,5.000000,0.277778,2.000000,5.454369,0.080000,0.728808,1.009912,0.056604,22.412521,45.371204,-22.985654,0.008983,18.000000
7n2s,2048.659185,6.000000,0.368421,3.000000,7.197292,0.074074,0.792644,1.126200,0.278689,28.848528,54.217805,-25.368950,-0.249414,19.000000
7n4k,1657.241496,7.000000,0.384615,8.000000,10.200000,0.052632,0.882213,2.247235,0.058824,30.039665,59.844161,-29.780497,0.175854,26.000000
7n5c,1583.513557,7.000000,0.370370,8.000000,10.562500,0.055556,0.890008,1.733216,0.076923,31.392185,63.471381,-32.073726,0.297940,27.000000
7n5p,1649.493864,7.000000,0.407407,7.000000,9.785235,0.100000,0.876854,2.390336,0.000000,27.185388,58.270022,-31.090685,0.304113,27.000000
7n6e,2030.845073,8.000000,0.437500,6.000000,10.588972,0.037037,0.872132,1.296874,0.138462,17.676911,59.156037,-41.529320,1.017854,32.000000
7na5,1474.952920,6.000000,0.470588,3.000000,6.594030,0.150000,0.764299,2.563483,-0.148936,4.988670,25.703517,-20.727476,0.496166,17.000000
7ndq,2054.134013,8.000000,0.285714,1.000000,8.643077,0.035714,0.817365,4.155753,-0.245283,22.734857,37.703676,-14.983765,-0.383695,14.000000
7ndt,1861.342452,5.000000,0.444444,5.000000,7.898172,0.080000,0.869919,1.270617,-0.163636,14.010684,34.303377,-20.253320,0.430065,18.000000
7ndu,1941.195077,8.000000,0.307692,1.000000,8.437642,0.111111,0.823330,3.795793,-0.147541,22.059582,34.115039,-12.061743,-0.252414,13.000000
7nme,2152.434598,6.000000,0.481481,6.000000,9.657201,0.066667,0.922876,0.591589,-0.072464,17.487467,40.840117,-23.345507,0.652359,27.000000
7nmf,2118.179263,6.000000,0.440000,7.000000,9.332640,0.034483,0.914695,0.608279,-0.044776,11.926626,38.990801,-27.020979,0.468196,25.000000
7nmg,2117.164943,6.000000,0.481481,6.000000,9.410901,0.032258,0.908409,0.655813,-0.044776,16.021019,40.838376,-24.833677,0.565240,27.000000
7ow5,1658.269677,6.000000,0.350000,3.000000,6.849498,0.086957,0.786774,0.713399,0.218750,11.686780,39.196664,-27.522607,0.334926,20.000000
7ow6,1642.502325,6.000000,0.333333,3.000000,6.937603,0.125000,0.782797,0.690790,0.200000,12.120073,41.821292,-29.726950,0.213480,21.000000
7pb2,1617.764419,6.000000,0.333333,2.000000,6.481013,0.136364,0.765444,0.683668,0.125000,15.247791,43.537723,-28.266228,0.185888,21.000000
7pbc,2017.350663,5.000000,0.481481,3.000000,8.217391,0.086957,0.882998,0.690819,0.142857,19.711792,51.470306,-31.737521,0.262938,27.000000
7pbe,1915.340084,7.000000,0.483871,10.000000,11.128035,0.035714,0.921002,0.918077,0.014085,25.320982,61.644046,-36.276459,0.408300,31.000000
7pdw,2112.556214,6.000000,0.448276,5.000000,8.677291,0.040000,0.893987,0.513271,0.212121,19.443573,50.860867,-31.370928,0.553591,29.000000
7phr,2120.980633,7.000000,0.304348,1.000000,8.920821,0.033333,0.849113,2.172907,-0.051282,14.878509,46.203785,-31.322383,-0.089198,23.000000
7q99,2008.590684,9.000000,0.428571,6.000000,9.285714,0.034483,0.830485,0.722135,-0.015385,39.924864,65.788282,-25.874180,0.032561,28.000000
7q9a,1935.504120,9.000000,0.384615,5.000000,9.066667,0.034483,0.831795,0.777705,-0.029412,44.060903,66.000967,-21.923324,-0.160583,26.000000
7q9b,2187.239298,10.000000,0.379310,5.000000,8.029326,0.090909,0.795370,0.837293,-0.243243,30.047441,57.178244,-27.129255,0.421143,29.000000
7qpj,2032.235781,5.000000,0.480000,3.000000,8.140655,0.086957,0.882991,0.510826,0.107692,19.108807,46.341342,-27.265560,0.244175,25.000000
7r80,1999.189845,5.000000,0.368421,5.000000,7.758621,0.086957,0.860336,0.063051,-0.200000,22.654953,44.956185,-22.298867,-0.436276,19.000000
7rdv,2289.935876,10.000000,0.346154,8.000000,10.797753,0.064516,0.891190,1.142097,-0.129032,-6.695005,40.056226,-46.737420,0.461196,26.000000
7rk7,1736.444126,8.000000,0.360000,5.000000,8.541176,0.083333,0.821359,1.813124,0.212121,38.629455,61.817341,-23.188681,0.285685,25.000000
7rm4,1567.792147,5.000000,0.210526,2.000000,7.643599,0.111111,0.796051,0.820981,0.234043,14.732327,41.986292,-27.236094,0.446689,19.000000
7rtr,1766.434925,7.000000,0.481481,4.000000,12.078067,0.041667,0.932670,0.601650,0.192982,10.882469,47.986415,-37.141282,0.449755,27.000000
7sg0,1922.503417,8.000000,0.260870,2.000000,7.952941,0.120000,0.868953,0.274571,-0.346154,2.057605,34.728982,-32.632193,0.229325,23.000000
7sg1,2293.612142,9.000000,0.285714,1.000000,8.286738,0.033333,0.869178,0.109377,-0.176471,14.267428,42.085012,-27.802533,-0.083308,21.000000
7sg2,2247.065401,11.000000,0.272727,0.000000,8.518027,0.062500,0.875881,0.005814,-0.194030,19.431134,46.746490,-27.287443,-0.181537,22.000000
7t2b,1844.767359,10.000000,0.500000,4.000000,8.285714,0.160000,0.827020,0.534082,-0.206897,8.566831,38.241494,-29.662922,0.086528,24.000000
7t2c,2285.010060,9.000000,0.478261,4.000000,7.623748,0.111111,0.835235,1.924848,-0.041096,18.706967,46.553367,-27.843803,0.058832,23.000000
7t2d,1705.769628,7.000000,0.312500,6.000000,7.603448,0.045455,0.848844,1.609438,-0.190476,-10.790919,21.950664,-32.713073,0.287429,16.000000
7z50,1981.883980,8.000000,0.434783,4.000000,9.109005,0.068966,0.868286,0.650784,0.032258,6.032964,36.585923,-30.589375,0.132402,23.000000
8cx4,1642.201674,7.000000,0.500000,2.000000,7.151300,0.136364,0.794844,0.784778,0.200000,36.749848,58.117408,-21.393080,-0.087493,22.000000
8d5q,1584.204204,7.000000,0.280000,9.000000,7.387978,0.080000,0.825496,1.635435,-0.038462,31.760145,55.829572,-24.033848,0.066838,25.000000
8dnt,1920.663311,8.000000,0.392857,7.000000,9.338824,0.074074,0.887754,0.699439,0.301587,28.055587,57.225847,-29.176504,0.106346,28.000000
8en8,1957.497228,6.000000,0.153846,4.000000,7.699828,0.035714,0.828274,1.502263,-0.253731,32.199007,59.270228,-27.081733,0.515701,26.000000
8enh,2070.794583,5.000000,0.200000,5.000000,7.871492,0.068966,0.845566,1.385811,-0.178082,28.339989,57.556370,-29.217388,0.386138,25.000000
8eo8,1965.017887,5.000000,0.160000,4.000000,7.494157,0.068966,0.819472,1.561810,-0.253731,31.366046,58.618830,-27.246187,0.423209,25.000000
8es8,1406.586988,5.000000,0.142857,2.000000,5.038095,0.052632,0.708944,0.983732,0.217391,17.011359,38.874549,-21.875743,-0.776777,14.000000
8es9,1750.083677,4.000000,0.266667,2.000000,6.160428,0.136364,0.789941,1.569231,0.166667,19.545273,32.538626,-12.980861,0.118952,15.000000
8f5a,1883.669650,8.000000,0.370370,7.000000,8.225316,0.040000,0.842740,0.767459,-0.228070,37.812465,64.508643,-26.716464,-0.142720,27.000000
8gom,2191.499386,8.000000,0.400000,6.000000,7.890785,0.031250,0.806339,1.084693,0.029412,31.774256,67.261292,-35.467756,0.045328,30.000000
8gon,2073.254978,8.000000,0.360000,5.000000,7.502836,0.034483,0.789160,1.312270,-0.015873,36.983864,74.440956,-37.426714,-0.737886,25.000000
8gvb,2020.516094,7.000000,0.470588,2.000000,8.243902,0.103448,0.840383,1.141801,0.115385,7.676626,30.792062,-23.100962,-0.005902,16.000000
8gvg,1987.919582,6.000000,0.466667,2.000000,7.967213,0.033333,0.853487,0.787987,0.074074,1.664027,25.637354,-24.005544,0.016670,14.000000
8gvi,1985.099827,6.000000,0.470588,1.000000,8.819242,0.111111,0.872054,1.201266,-0.054545,3.417638,25.661570,-22.261197,0.297467,16.000000
8i5c,2032.515621,8.000000,0.200000,3.000000,7.800839,0.037037,0.835842,1.358123,-0.081967,5.990836,25.681380,-19.686110,0.182916,15.000000
8i5d,1873.138818,5.000000,0.384615,2.000000,6.933333,0.076923,0.797839,1.452252,0.346154,-0.502037,20.287062,-20.791270,0.215703,13.000000
8pjg,2002.336163,8.000000,0.384615,4.000000,10.055866,0.120000,0.896131,1.724466,-0.100000,7.752797,45.338971,-37.591311,0.335725,25.000000
8qfy,1911.044232,5.000000,0.333333,1.000000,7.857143,0.153846,0.820796,3.653587,-0.163636,-0.592791,17.028332,-17.656269,-0.171742,9.000000
8rj5,1493.526707,6.000000,0.421053,4.000000,6.738854,0.142857,0.759254,0.754289,0.521739,6.243432,33.196348,-26.979758,0.019409,19.000000
8rlt,1919.356459,7.000000,0.388889,2.000000,8.256881,0.037037,0.865035,1.084528,-0.066667,0.060986,25.803187,-25.725862,0.350365,18.000000
8rlu,2049.430961,7.000000,0.368421,1.000000,8.554023,0.037037,0.865578,1.250303,-0.081967,-1.326291,23.899068,-25.238293,0.583076,19.000000
8rlv,2068.439105,8.000000,0.421053,1.000000,8.391121,0.034483,0.850128,1.415011,-0.047619,0.869218,24.508899,-23.624349,0.509498,19.000000
8rro,1799.931340,6.000000,0.000000,3.000000,5.811554,0.080000,0.681796,0.627114,1.000000,19.525582,57.082530,-37.564029,0.362545,25.000000
8rym,1438.774942,5.000000,0.375000,3.000000,8.647059,0.125000,0.887751,0.215596,0.000000,9.607661,36.914590,-27.325144,-0.316518,16.000000
8ryn,1528.877151,5.000000,0.400000,3.000000,8.920705,0.157895,0.892362,0.543886,0.066667,12.930621,37.697764,-24.756672,-0.526625,15.000000
8ryo,1709.855432,6.000000,0.333333,3.000000,9.060377,0.150000,0.879731,0.289234,0.102041,15.198391,43.908412,-28.691772,-0.361790,18.000000
8ryp,1636.968912,6.000000,0.434783,7.000000,8.472313,0.050000,0.868559,0.926608,0.098039,3.719453,42.652815,-38.923859,0.137204,23.000000
8ryq,1893.252224,8.000000,0.500000,6.000000,8.595062,0.120000,0.869458,1.227824,0.254237,3.466468,39.660083,-36.175404,0.212429,24.000000
8shi,1840.295478,4.000000,0.100000,1.000000,4.730193,0.150000,0.721711,-0.595086,-0.106383,2.377808,21.530786,-19.137077,-0.471849,10.000000
8trl,1860.329628,7.000000,0.312500,4.000000,7.372703,0.115385,0.857453,0.637797,-0.169811,11.146354,34.996874,-23.865459,-0.316092,16.000000
8trq,1632.364129,8.000000,0.428571,1.000000,6.211268,0.111111,0.743513,-0.232752,0.174603,30.793032,55.849583,-25.082209,-0.505099,21.000000
8trr,1955.682104,8.000000,0.421053,1.000000,8.955224,0.107143,0.876649,0.349909,0.066667,26.259591,48.763041,-22.494501,-0.480510,19.000000
8v4z,1924.396340,7.000000,0.347826,5.000000,9.924051,0.040000,0.883550,1.459626,-0.107143,24.533498,50.979710,-26.477878,0.169085,23.000000
8v50,1865.372298,7.000000,0.363636,5.000000,9.365325,0.080000,0.872561,1.349293,-0.127273,22.783645,50.114733,-27.315454,0.077822,22.000000
8v51,1966.201979,7.000000,0.350000,5.000000,9.223529,0.037037,0.883195,1.260731,-0.071429,18.525927,48.951614,-30.422819,-0.234852,20.000000
8vcx,2173.265331,10.000000,0.500000,3.000000,7.307985,0.071429,0.868449,-0.516392,-0.032258,6.659030,34.933669,-28.300660,-0.056297,22.000000
8vcy,2112.936032,12.000000,0.461538,6.000000,8.757576,0.058824,0.907102,-0.400601,-0.088235,3.325929,36.918030,-33.608469,0.207463,26.000000
8vd0,2309.187782,12.000000,0.296296,8.000000,7.845272,0.058824,0.849739,-0.030986,0.162162,18.198277,50.182473,-31.991893,0.141056,27.000000
8vd2,2337.886545,12.000000,0.344828,8.000000,8.251429,0.060606,0.873341,-0.051847,0.105263,14.965387,50.483130,-35.470308,0.485112,29.000000
8vq8,1959.279567,8.000000,0.391304,5.000000,6.470138,0.115385,0.782753,0.233194,0.169231,4.512497,38.863154,-34.362316,-0.032928,23.000000
8wte,1665.003127,5.000000,0.000000,3.000000,6.477516,0.045455,0.746102,1.933678,-0.127273,7.099790,30.168362,-23.069549,-0.150383,13.000000
8wul,1704.137055,5.000000,0.000000,3.000000,6.369615,0.045455,0.743628,1.797652,-0.207547,6.641556,29.007971,-22.346303,-0.264312,12.000000
8ye4,1673.662400,6.000000,0.478261,5.000000,7.225434,0.041667,0.804954,0.653926,0.360000,2.602075,32.195713,-29.611554,0.426258,22.000000
8yiv,1298.661820,6.000000,0.000000,2.000000,4.922330,0.111111,0.605104,-0.240172,-1.000000,,,,,
8yj2,1234.749485,6.000000,0.000000,2.000000,4.978182,0.176471,0.609425,-0.274437,-1.000000,,,,,
9aud,1960.501534,9.000000,0.000000,8.000000,5.033278,0.074074,0.616782,0.218608,1.000000,10.984301,44.790452,-33.762746,0.028194,24.000000
9d95,2450.659291,9.000000,0.482759,5.000000,8.197605,0.031250,0.801197,2.179642,0.162162,31.218654,64.972770,-33.707169,-0.194194,29.000000
9gv6,1694.692410,6.000000,0.458333,8.000000,8.858757,0.142857,0.846111,0.847298,0.178571,19.953744,54.491857,-34.538698,0.300255,23.000000
9gv7,2074.326625,6.000000,0.166667,2.000000,5.557883,0.033333,0.771165,-1.353959,-0.154930,4.739282,26.376993,-21.614003,-0.495467,12.000000
9hlj,2034.327641,8.000000,0.272727,5.000000,7.844898,0.033333,0.802678,1.392373,0.225806,10.849078,38.458756,-27.612351,0.546417,22.000000
9iky,1890.261692,6.000000,0.200000,1.000000,6.317757,0.043478,0.796026,1.659241,0.038462,3.844897,22.305599,-18.456363,-0.344179,10.000000
9j4t,1324.862589,5.000000,0.368421,1.000000,9.092784,0.117647,0.876657,1.052782,-0.190476,5.242500,34.388368,-29.127752,0.019438,19.000000
9j4u,1684.738550,8.000000,0.384615,7.000000,9.256228,0.120000,0.844256,0.528946,0.215686,26.221065,56.532889,-30.314118,-0.091827,26.000000
9k2i,1870.330460,6.000000,0.480000,5.000000,6.815603,0.125000,0.762643,2.188066,-0.193548,27.637296,57.445983,-29.801239,-0.071941,25.000000
9k2r,1649.251282,7.000000,0.500000,4.000000,8.189504,0.100000,0.836202,0.869038,-0.132075,26.030600,56.974652,-30.934155,-0.196401,24.000000
9nds,1940.846913,8.000000,0.433333,4.000000,7.612613,0.074074,0.779887,0.255042,0.169231,22.730448,63.103604,-40.420692,0.264898,29.000000
9nig,1760.940167,5.000000,0.444444,4.000000,8.521739,0.080000,0.825164,2.197225,0.071429,2.511409,27.022008,-24.507815,0.334147,18.000000
